uuid,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
23849e85-7b38-47eb-a25f-60cfe787f44a,-370.6877136,70.66501617,-29.42150879,-1.713963747,-5.040495872,0.825215161,-9.175828934,-3.193797588,-5.040655136,-1.608501196,0.001204804,-3.978364944,-0.011568876,0.5540272,0.616345406,0.620619118,0.58576721,0.566107213,0.567796111,0.55494827,0.547199667,0.547533751,0.546192884,0.560474157,0.564283729,15.69558913,11.60316887,13.10131681,13.93234705,16.49505481,16.29647619,45.3211283
ebfe0ea7-dceb-4608-bb53-2cdf46dcf481,-423.3652344,75.13308716,-17.26642799,18.84617805,-12.71670055,9.821298599,-10.78921795,-10.79703331,-3.713859558,-2.09335494,-4.623279095,-5.794840813,-1.670488834,0.641739964,0.568000495,0.524587214,0.512928069,0.519981325,0.527837694,0.553748012,0.559112251,0.565893173,0.580912828,0.599405348,0.62688458,16.9756976,10.92153314,13.20060157,13.67346813,16.59374388,17.51504814,50.74239522
1c988dba-5793-4791-a7dd-601dfaabd130,-640.4944458,35.57187271,-23.49809265,-1.957531214,-10.54449749,6.798949718,-1.154505491,-4.459031582,-1.667611122,-4.250856876,-3.136903524,-2.536298037,-1.525408268,0.561633706,0.586236775,0.608376682,0.574407041,0.55513078,0.515470803,0.499327153,0.509744704,0.479668468,0.51169163,0.508185863,0.561312914,13.20519833,10.89328781,12.378618,13.70426726,15.32727527,16.21071065,45.43342588
bac8326b-2652-443d-8b58-af96cdf5284d,-365.9802246,67.65940857,-28.32679176,6.916109085,-11.26285172,-2.520728111,-15.90570641,-5.355227947,3.613226414,0.775154531,-3.879847527,-9.747108459,4.199723244,0.402313173,0.341672122,0.376955956,0.422435164,0.434556276,0.411946863,0.423219174,0.392946988,0.408507377,0.399349719,0.419616312,0.45699057,15.91942337,14.08783813,17.18060005,17.02370894,19.99188951,20.38248536,47.7692994
8156da3f-3e96-43aa-a913-55a8ad87b7cb,-643.5545654,56.99092865,-15.73537827,-19.02542496,-20.98563766,3.851032734,3.195538759,-10.39404583,-6.502272606,-7.506380081,-6.078509808,-3.06995821,-0.970080972,0.384046882,0.427244693,0.314933836,0.220592886,0.426876277,0.339210838,0.295687377,0.352937311,0.210163578,0.167402104,0.235675335,0.355929762,14.68478898,12.67281278,16.78917281,19.60210705,20.62554281,19.51031009,46.98050421
8d14a6a7-5dbb-4e91-a378-056a332e5b03,-579.5159302,11.87831116,-5.574580193,10.1332674,-10.21310902,7.152031898,-8.041946411,1.995357394,-1.089047074,-3.390992165,-1.363371372,-2.981407881,-1.862423539,0.277611166,0.286531597,0.260887176,0.22404775,0.198735982,0.160495862,0.154837579,0.185981929,0.219277024,0.212917268,0.206410587,0.224803001,15.60633866,14.58374815,16.09985483,17.1955659,18.31131891,17.76629652,34.99155867
63c6a237-0340-40b6-ad91-9554667d1247,-506.5297546,39.92635345,-12.95526981,8.22336483,-12.94587994,3.838233948,-11.54377174,-3.840836287,-11.90781975,-3.159599066,-2.43786025,-5.418001175,-2.027587414,0.486732006,0.496373624,0.504841566,0.525758028,0.485280991,0.512259543,0.553355038,0.55650419,0.534449279,0.561983347,0.483184874,0.46431613,14.79639182,11.36165216,14.51994837,14.55229921,15.96626302,17.22051817,44.79579549
0c9f2427-ce97-4c4d-9f24-ee83e949ada6,-428.8430481,30.19523621,-38.30474472,21.19074249,-16.92026711,6.009459972,-21.24743462,-2.450580597,-13.77741051,-3.982435942,-2.835214615,-6.255712986,-5.286212444,0.33135277,0.382489741,0.359763712,0.297562331,0.351708025,0.371119082,0.347567976,0.314850211,0.321267843,0.311848402,0.297505528,0.321749181,14.2615953,10.44160723,13.00402766,14.29055467,14.27829365,17.67670398,43.12180581
e5330ec2-b982-4ae0-9600-b85281eb9a68,-394.4399109,59.61014938,-8.703297615,22.87466431,-2.934550524,-2.109605312,-6.015017509,0.386992514,0.359699994,-6.090385914,-6.544555187,-4.304330349,-6.945219517,0.400409907,0.413183123,0.378267884,0.351500362,0.320979834,0.318223625,0.326718032,0.335393935,0.318368137,0.300183535,0.323031932,0.384811908,16.7525014,14.21544762,15.00707935,15.29409442,16.76209517,17.95355265,40.95554854
d14e4f5f-a495-4847-afd9-f5fa9aecac94,-461.4316406,38.12695313,-14.88922977,17.06737518,-8.697957039,-4.174341679,-7.651912689,-10.83316994,-13.28384304,-4.059031487,-0.857971549,-8.12501049,-0.550021291,0.21964252,0.171132803,0.158783957,0.178582594,0.223548353,0.250049472,0.252075851,0.291264445,0.332703739,0.346666813,0.292581022,0.264140964,12.03048152,11.84797872,14.33948856,13.39759543,14.38212818,17.27890312,28.60953294
